matcher,index,points,range,zone,radius,found,repeat,timesum,timeavg
HsqlZoneMatcherImpl,SEPARATE,4198401,32.0,0.25,0.0078125,1,100,4280,42.803
HsqlZoneMatcherImpl,SEPARATE,4198401,32.0,0.125,0.5,801,100,9386,93.867
HsqlZoneMatcherImpl,SEPARATE,4198401,32.0,0.125,0.25,203,100,5177,51.770
HsqlZoneMatcherImpl,SEPARATE,4198401,32.0,0.125,0.125,46,100,2672,26.720
HsqlZoneMatcherImpl,SEPARATE,4198401,32.0,0.125,0.0625,10,100,1509,15.092
HsqlZoneMatcherImpl,SEPARATE,4198401,32.0,0.125,0.03125,4,100,1513,15.132
HsqlZoneMatcherImpl,SEPARATE,4198401,32.0,0.125,0.015625,1,100,1511,15.110
HsqlZoneMatcherImpl,SEPARATE,4198401,32.0,0.125,0.0078125,1,100,1425,14.256
HsqlZoneMatcherImpl,SEPARATE,4198401,32.0,0.0625,0.5,803,100,9393,93.939
HsqlZoneMatcherImpl,SEPARATE,4198401,32.0,0.0625,0.25,197,100,6710,67.108
HsqlZoneMatcherImpl,SEPARATE,4198401,32.0,0.0625,0.125,52,100,1913,19.131
HsqlZoneMatcherImpl,SEPARATE,4198401,32.0,0.0625,0.0625,12,100,914,9.143
HsqlZoneMatcherImpl,SEPARATE,4198401,32.0,0.0625,0.03125,4,100,583,5.830
HsqlZoneMatcherImpl,SEPARATE,4198401,32.0,0.0625,0.015625,1,100,604,6.045
HsqlZoneMatcherImpl,SEPARATE,4198401,32.0,0.0625,0.0078125,1,100,588,5.889
HsqlZoneMatcherImpl,SEPARATE,4198401,32.0,0.03125,0.5,808,100,9323,93.238
HsqlZoneMatcherImpl,SEPARATE,4198401,32.0,0.03125,0.25,201,100,4499,44.992
HsqlZoneMatcherImpl,SEPARATE,4198401,32.0,0.03125,0.125,50,100,1968,19.684
HsqlZoneMatcherImpl,SEPARATE,4198401,32.0,0.03125,0.0625,12,100,923,9.231
HsqlZoneMatcherImpl,SEPARATE,4198401,32.0,0.03125,0.03125,3,100,540,5.409
HsqlZoneMatcherImpl,SEPARATE,4198401,32.0,0.03125,0.015625,1,100,350,3.505
HsqlZoneMatcherImpl,SEPARATE,4198401,32.0,0.03125,0.0078125,1,100,350,3.510
HsqlZoneMatcherImpl,SEPARATE,4198401,32.0,0.015625,0.5,803,100,8781,87.816
